"specimenID","assay","platform","dnaBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","readLength","runType","totalReads","numberCells","260/280","260/230","GQN"
71691,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71692,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71693,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71694,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71695,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71697,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71698,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71699,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71700,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71701,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71702,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71703,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71704,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71705,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71706,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71708,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71709,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71710,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71711,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71712,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71713,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71714,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71715,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71716,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71717,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71718,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71719,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71720,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71721,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71722,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71723,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
